campaign_id|campaign_name|campaign_type|campaign_objective|platform|target_segment|target_country|start_date|end_date|duration_days|budget_usd|actual_spend_usd|budget_utilization_pct|impressions|clicks|click_through_rate_pct|conversions|conversion_rate_pct|revenue_generated_usd|roas|cost_per_click_usd|cost_per_conversion_usd|status|ab_test_variant|utm_source|utm_medium
CAMP0100|Q3 2022 Display - Customer Retention|Display|Win-Back|Google Display Network|Hibernating|Global|2022-10-07|2022-12-22|76|8684.09|7678.45|88.4|98934|7298|7.38|356|4.88|32650.85|4.25|1.05|21.57|Active|Variant B|google_display_network|display
CAMP0101|Q3 2022 Display - Seasonal Promotion|Display|Product Launch|Google Display Network|Hibernating|All Markets|2023-08-29|2023-10-16|48|9454.05|7405.71|78.3|320477|18055|5.63|1073|5.94|146397.09|19.77|0.41|6.9|Active|Variant B|google_display_network|display
CAMP0102|Q3 2023 Paid Search - Win-Back|Paid Search|Upsell/Cross-sell|Google Ads|New Customers|Ghana|2021-09-14|2021-10-05|21|2727.0|2403.01|88.1|73125|5575|7.62|834|14.96|45641.26|18.99|0.43|2.88|Completed|Control|google_ads|paid_search
CAMP0103|Q3 2022 SMS - Seasonal Promotion|SMS|Brand Awareness|Africa's Talking|All Customers|South Africa|2021-11-09|2022-01-14|66|2268.28|2176.07|95.9|262306|7113|2.71|533|7.49|58831.41|27.04|0.31|4.08|Draft|Variant B|africa's_talking|sms
CAMP0104|Q4 2021 Push Notification - Lead Generation|Push Notification|Customer Retention|Firebase|At Risk|East Africa|2023-07-27|2023-09-29|64|6691.98|4467.22|66.8|64168|2177|3.39|241|11.07|43205.73|9.67|2.05|18.54|Completed|Variant B|firebase|push_notification
CAMP0105|Q1 2023 Push Notification - Upsell/Cross-sell|Push Notification|Lead Generation|Firebase|All Customers|All Markets|2022-11-03|2023-01-17|75|2301.68|1807.87|78.5|33468|2301|6.88|317|13.78|48058.1|26.58|0.79|5.7|Completed|Variant A|firebase|push_notification
CAMP0106|Q2 2021 Social Media - Seasonal Promotion|Social Media|Lead Generation|Meta Ads|All Customers|East Africa|2023-08-26|2023-10-04|39|3003.96|2684.76|89.4|340951|22767|6.68|1184|5.2|178269.81|66.4|0.12|2.27|Completed|No Test|meta_ads|social_media
CAMP0107|Q3 2021 Retargeting - Brand Awareness|Retargeting|Upsell/Cross-sell|Meta Ads|All Customers|South Africa|2022-07-05|2022-08-20|46|3762.73|3737.84|99.3|267537|15127|5.65|587|3.88|101415.37|27.13|0.25|6.37|Completed|Variant A|meta_ads|retargeting
CAMP0108|Q3 2024 SMS - Product Launch|SMS|Customer Retention|Africa's Talking|High Value|West Africa|2021-04-22|2021-04-30|8|836.92|674.8|80.6|300578|13653|4.54|705|5.16|64764.19|95.98|0.05|0.96|Completed|Control|africa's_talking|sms
CAMP0109|Q1 2023 Social Media - New Customer Acquisition|Social Media|Lead Generation|Meta Ads|Hibernating|South Africa|2023-07-21|2023-08-29|39|10212.23|8788.79|86.1|492076|5531|1.12|745|13.47|116746.65|13.28|1.59|11.8|Completed|Variant B|meta_ads|social_media
CAMP0110|Q3 2021 Push Notification - Seasonal Promotion|Push Notification|Product Launch|Firebase|Hibernating|Kenya|2022-07-03|2022-08-03|31|17436.31|16096.72|92.3|314121|9308|2.96|992|10.66|30322.26|1.88|1.73|16.23|Active|Variant B|firebase|push_notification
CAMP0111|Q2 2024 Social Media - Product Launch|Social Media|Upsell/Cross-sell|Meta Ads|Hibernating|All Markets|2021-02-25|2021-05-01|65|9042.45|7917.94|87.6|116965|2466|2.11|194|7.87|5850.43|0.74|3.21|40.81|Active|No Test|meta_ads|social_media
CAMP0112|Q1 2022 Social Media - New Customer Acquisition|Social Media|Lead Generation|Meta Ads|Hibernating|South Africa|2022-04-01|2022-05-04|33|706.4|686.03|97.1|188149|2555|1.36|324|12.68|25830.5|37.65|0.27|2.12|Active|Control|meta_ads|social_media
CAMP0113|Q1 2022 Email - Brand Awareness|Email|Lead Generation|Mailchimp|High Value|Nigeria|2022-03-16|2022-05-17|62|7785.48|4786.94|61.5|78514|5050|6.43|256|5.07|14190.71|2.96|0.95|18.7|Completed|Variant A|mailchimp|email
CAMP0114|Q3 2024 SMS - Upsell/Cross-sell|SMS|New Customer Acquisition|Africa's Talking|High Value|Nigeria|2023-07-11|2023-08-11|31|15782.27|15054.67|95.4|285786|5485|1.92|280|5.1|31734.34|2.11|2.74|53.77|Completed|Variant A|africa's_talking|sms
CAMP0115|Q4 2022 Email - Lead Generation|Email|Seasonal Promotion|Mailchimp|High Value|Kenya|2022-06-28|2022-07-09|11|3276.74|1977.69|60.4|261402|9154|3.5|858|9.37|45453.79|22.98|0.22|2.31|Paused|No Test|mailchimp|email
CAMP0116|Q4 2022 Paid Search - Seasonal Promotion|Paid Search|Win-Back|Google Ads|New Customers|South Africa|2022-06-13|2022-08-20|68|7051.02|5517.87|78.3|127226|9977|7.84|1224|12.27|239418.44|43.39|0.55|4.51|Active|Variant A|google_ads|paid_search
CAMP0117|Q4 2021 SMS - Upsell/Cross-sell|SMS|Customer Retention|Africa's Talking|Champions|All Markets|2023-12-12|2024-01-30|49|9079.88|6913.86|76.1|372714|14402|3.86|774|5.37|134055.97|19.39|0.48|8.93|Active|No Test|africa's_talking|sms
CAMP0118|Q2 2022 Email - New Customer Acquisition|Email|New Customer Acquisition|Mailchimp|Loyal Customers|West Africa|2023-07-11|2023-09-23|74|2243.95|2054.71|91.6|318610|6342|1.99|300|4.73|59056.82|28.74|0.32|6.85|Completed|Control|mailchimp|email
CAMP0119|Q3 2021 Social Media - Brand Awareness|Social Media|Seasonal Promotion|Meta Ads|Champions|East Africa|2021-01-08|2021-04-02|84|2167.84|1515.91|69.9|260027|15155|5.83|1237|8.16|204596.52|134.97|0.1|1.23|Completed|Variant A|meta_ads|social_media
CAMP0120|Q2 2023 Paid Search - New Customer Acquisition|Paid Search|Lead Generation|Google Ads|Loyal Customers|All Markets|2022-04-16|2022-07-12|87|704.3|402.57|57.2|445957|29744|6.67|1114|3.75|212996.52|529.09|0.01|0.36|Draft|Control|google_ads|paid_search
